date,gamer_id,gamerNickname,orderId,productName,productId,platform,tbc,price,status,type,details,currencyCode,,,,
2025-07-05 8:41,dbf4ffc0-5806-11f0-8369-91ca55498edf,효문제,GPA.3344-6147-2264-68310,,ruby_3,Google,0,11000,성공,일반,14300,KRW,11000,,,
2025-07-05 8:12,a60e3f70-53ab-11f0-b232-b594fd96a263,꼬마장군,GPA.3349-2703-2488-65586,,ruby_3,Google,0,11000,성공,일반,39600,KRW,11000,,,
2025-07-05 5:58,0b70ffa0-5961-11f0-865b-3f13445e4ca8,스며화,GPA.3325-5054-8575-93737,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,ruby_6,110000
2025-07-05 5:34,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3378-4594-2853-51719,,ruby_3,Google,0,11000,성공,일반,11252700,KRW,11000,,ruby_5,55000
2025-07-05 5:34,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3318-4691-7836-19863,,ruby_3,Google,0,11000,성공,일반,11263700,KRW,11000,,ruby_4,33000
2025-07-05 5:25,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3342-1746-3019-69945,,ruby_3,Google,0,11000,성공,일반,11234000,KRW,11000,,ruby_3,11000
2025-07-05 5:25,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3305-0253-8086-73241,,ruby_2,Google,0,6600,성공,일반,11245000,KRW,6600,,ruby_2,6600
2025-07-05 5:25,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3309-3706-9554-83327,,ruby_1,Google,0,1100,성공,일반,11251600,KRW,1100,,ruby_1,1100
2025-07-05 1:22,474b4120-55d3-11f0-966d-d5fb5a955893,유시에,GPA.3371-5772-8448-33551,,ruby_5,Google,0,55000,성공,일반,88000,KRW,55000,,ads_remove,7700
2025-07-04 21:38,89207590-d958-11ef-b87c-952aea98d58b,예압,GPA.3334-1832-5426-20465,,ruby_5,Google,0,55000,성공,일반,292200,KRW,55000,,,
2025-07-04 20:35,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250705053453U0819864,,ruby_6,Onestore,0,0,성공,일반,999600,KRW,110000,,,
2025-07-04 20:35,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250705053535U0111461,,ruby_6,Onestore,0,0,성공,일반,1109600,KRW,110000,,,
2025-07-04 20:34,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250705053400U0819829,,ruby_6,Onestore,0,0,성공,일반,889600,KRW,110000,,,
2025-07-04 15:14,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250705001354U0319133,,ruby_6,Onestore,0,0,성공,일반,779600,KRW,110000,,,
2025-07-04 14:53,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250704235154U0917027,,ruby_6,Onestore,0,0,성공,일반,669600,KRW,110000,,,
2025-07-04 12:38,dbf4ffc0-5806-11f0-8369-91ca55498edf,효문제,GPA.3309-0456-8358-09960,,ruby_2,Google,0,6600,성공,일반,7700,KRW,6600,,,
2025-07-04 5:00,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250704135946S0315357,,ruby_3,Onestore,0,0,성공,일반,3715700,KRW,11000,,,
2025-07-04 4:58,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250704135815S1613386,,ruby_4,Onestore,0,0,성공,일반,3682700,KRW,33000,,,
2025-07-04 2:20,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3346-4599-5225-34716,,ruby_5,Google,0,55000,성공,일반,11179000,KRW,55000,,,
2025-07-04 1:29,474b4120-55d3-11f0-966d-d5fb5a955893,유시에,GPA.3391-4012-1414-27271,,ruby_5,Google,0,55000,성공,일반,33000,KRW,55000,,,
2025-07-03 13:08,89207590-d958-11ef-b87c-952aea98d58b,예압,GPA.3396-5711-8093-93340,,ruby_3,Google,0,11000,성공,일반,281200,KRW,11000,,,
2025-07-03 12:19,dbf4ffc0-5806-11f0-8369-91ca55498edf,효문제,GPA.3377-7831-4764-14806,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-03 7:08,d3c039d0-57db-11f0-9281-f533aa13139a,중요,GPA.3396-7788-2627-98395,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-03 6:01,a2385730-547a-11f0-a93f-23837af82dae,시르온,GPA.3386-5914-6004-38823,,ruby_2,Google,0,6600,성공,일반,18700,KRW,6600,,,
2025-07-03 1:56,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3311-4293-7051-79987,,ruby_6,Google,0,110000,성공,일반,975700,KRW,110000,,,
2025-07-02 21:22,4e40cb40-5488-11f0-ac93-bfea92c8a2c4,첫걸음,250703062232S1412009,,ads_remove,Onestore,0,0,성공,일반,0,KRW,7700,,,
2025-07-02 14:00,89207590-d958-11ef-b87c-952aea98d58b,예압,GPA.3317-9723-7113-81595,,ruby_2,Google,0,6600,성공,일반,274600,KRW,6600,,,
2025-07-02 9:07,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250702180708S0219980,,ruby_4,Onestore,0,0,성공,일반,3649700,KRW,33000,,,
2025-07-01 23:22,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3380-5610-6198-06441,,ruby_6,Google,0,110000,성공,일반,865700,KRW,110000,,,
2025-07-01 21:51,e904fb70-af5a-11ef-8463-bb9779ec444a,Yeok,GPA.3334-0367-0224-90429,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-01 15:33,290de060-5690-11f0-a503-5996eedab7c0,포도당,GPA.3346-5159-4479-63636,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-01 15:14,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250702001420S1118338,,ruby_5,Onestore,0,0,성공,일반,3594700,KRW,55000,,,
2025-07-01 7:23,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3323-8902-6067-28480,,ruby_4,Google,0,33000,성공,일반,11146000,KRW,33000,,,
2025-07-01 6:33,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3358-5628-2165-60158,,ruby_6,Google,0,110000,성공,일반,11036000,KRW,110000,,,
2025-07-01 3:51,563acd70-55f8-11f0-b052-b30676afe98d,긴니시기,GPA.3306-0662-6863-07035,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-07-01 3:07,4ed6f1a0-5605-11f0-8a14-0fd5907ea351,Abubu,GPA.3324-1229-4720-16701,,ruby_4,Google,0,33000,성공,일반,0,KRW,33000,,,
2025-07-01 1:57,a2385730-547a-11f0-a93f-23837af82dae,시르온,GPA.3354-7971-4048-25888,,ruby_3,Google,0,11000,성공,일반,7700,KRW,11000,,,
2025-07-01 0:56,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3321-6254-7696-51249,,ruby_6,Google,0,110000,성공,일반,755700,KRW,110000,,,
2025-06-30 23:43,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250701084330S2210822,,ruby_2,Onestore,0,0,성공,일반,3588100,KRW,6600,,,
2025-06-30 20:26,a2385730-547a-11f0-a93f-23837af82dae,시르온,GPA.3356-2710-8509-42446,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 17:20,474b4120-55d3-11f0-966d-d5fb5a955893,유시에,GPA.3383-2218-3403-95227,,ruby_4,Google,0,33000,성공,일반,0,KRW,33000,,,
2025-06-30 15:27,6af85490-52f5-11f0-ad1c-1de0ea54cc87,흰둥아빠,GPA.3322-1835-0851-74485,,ruby_2,Google,0,6600,성공,일반,11000,KRW,6600,,,
2025-06-30 15:24,dfbab980-55c5-11f0-a73d-3dc9767e83af,주짓수코리아,GPA.3329-3776-2385-29002,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 14:46,6af85490-52f5-11f0-ad1c-1de0ea54cc87,흰둥아빠,GPA.3351-4754-5891-51226,,ruby_3,Google,0,11000,성공,일반,0,KRW,11000,,,
2025-06-30 8:22,e9823330-5589-11f0-86c3-5f09e4a94f1c,Kiz,GPA.3359-0867-0707-98018,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 6:42,266818a0-557b-11f0-86c4-0d11f7b7a2cb,울다미,GPA.3347-6221-3812-37736,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-30 0:17,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3323-7702-6475-93135,,ruby_6,Google,0,110000,성공,일반,645700,KRW,110000,,,
2025-06-29 23:31,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250630083027S1813050,,ruby_4,Onestore,0,0,성공,일반,3555100,KRW,33000,,,
2025-06-29 23:00,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3332-3827-1409-79058,,ruby_3,Google,0,11000,성공,일반,634700,KRW,11000,,,
2025-06-29 22:58,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3314-4147-0084-71790,,ruby_6,Google,0,110000,성공,일반,414700,KRW,110000,,,
2025-06-29 22:58,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3337-0085-3119-32708,,ruby_6,Google,0,110000,성공,일반,524700,KRW,110000,,,
2025-06-29 14:48,d3d75b10-51d7-11f0-b8f0-fd08dec628e7,조민희,GPA.3330-2084-8184-47395,,ruby_5,Google,0,55000,성공,일반,40700,KRW,55000,,,
2025-06-29 14:16,2b7ad370-53f8-11f0-920d-c74a14973246,라카,GPA.3367-4770-2269-82830,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-29 12:04,c20e6f90-549d-11f0-9be9-a3d167c640f6,롱티,GPA.3318-7561-8297-31893,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-29 9:34,20f40980-54c5-11f0-b960-193f8c98dd6a,Namgi,GPA.3327-7554-0226-80060,,ruby_2,Google,0,6600,성공,일반,7700,KRW,6600,,,
2025-06-29 8:50,20f40980-54c5-11f0-b960-193f8c98dd6a,Namgi,GPA.3374-7112-8514-16360,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-29 6:45,b48f56d0-54b2-11f0-bb57-4f8b0fc6a361,짱유,GPA.3307-5347-5658-94252,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-29 2:44,4ba8a520-5491-11f0-83d0-c7af0631c64b,흑천,GPA.3384-5466-6796-54167,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-29 2:02,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3343-2242-6699-62706,,ruby_6,Google,0,110000,성공,일반,304700,KRW,110000,,,
2025-06-29 0:34,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250629093330S2013702,,ruby_5,Onestore,0,0,성공,일반,3489100,KRW,55000,,,
2025-06-29 0:34,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250629093414S0914501,,ruby_3,Onestore,0,0,성공,일반,3544100,KRW,11000,,,
2025-06-28 23:26,a60e3f70-53ab-11f0-b232-b594fd96a263,꼬마장군,GPA.3346-9453-0241-48406,,ruby_2,Google,0,6600,성공,일반,33000,KRW,6600,,,
2025-06-28 19:22,4bed3bf0-5454-11f0-9430-f19181f751be,딴지,GPA.3328-2005-5593-27951,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 16:13,1b55cf60-ae06-11ef-9499-678aa71606e9,6638,GPA.3367-1889-3185-08170,,ruby_2,Google,0,6600,성공,일반,7700,KRW,6600,,,
2025-06-28 11:18,d3d75b10-51d7-11f0-b8f0-fd08dec628e7,조민희,GPA.3312-7873-4015-80644,,ruby_4,Google,0,33000,성공,일반,7700,KRW,33000,,,
2025-06-28 10:46,af8102d0-5406-11f0-b543-5bdef5118bd2,임영대군,GPA.3378-5772-5269-47817,,ruby_3,Google,0,11000,성공,일반,0,KRW,11000,,,
2025-06-28 9:30,efc067f0-5401-11f0-82eb-ddbd20c83d20,모고모모,GPA.3300-0802-1352-06460,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 9:28,ab1a3500-5400-11f0-b4c6-cfc03b777295,익공,GPA.3302-7919-2296-53783,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 7:45,0f71def0-53f1-11f0-8805-b3badd4d1eaa,최태원,GPA.3323-1148-4686-32375,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 7:03,33ec9cd0-53eb-11f0-8805-b3badd4d1eaa,백색,GPA.3340-3411-1882-56678,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 5:10,40546a70-53dc-11f0-af9f-41c2a4c7a57c,리주몽,GPA.3374-7505-7346-71974,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-28 4:45,8aa0a270-7e3e-11ef-bd39-7ddaa3b45b16,희린,GPA.3370-1022-2805-52365,,ruby_4,Google,0,33000,성공,일반,101800,KRW,33000,,,
2025-06-28 4:07,716bc9f0-5148-11f0-bac9-5394e7bd22d7,사라,GPA.3352-0433-9918-81949,,ruby_2,Google,0,6600,성공,일반,14300,KRW,6600,,,
2025-06-28 1:20,a60e3f70-53ab-11f0-b232-b594fd96a263,꼬마장군,GPA.3392-7356-2159-23899,,ruby_4,Google,0,33000,성공,일반,0,KRW,33000,,,
2025-06-27 23:44,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3308-7876-8524-55390,,ruby_5,Google,0,55000,성공,일반,249700,KRW,55000,,,
2025-06-27 23:02,e0290080-53a8-11f0-970d-1fc01dd25a7f,천유협,GPA.3378-8604-7616-45859,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-27 22:44,4b151270-52f6-11f0-91e2-8d9fd9c9e7d6,삽둥이,GPA.3328-8660-2344-26767,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-27 16:23,aa781d50-536b-11f0-a196-4583560b2d60,치하,GPA.3334-1271-0005-63643,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-27 15:07,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250628000721S0610133,,ruby_5,Onestore,0,0,성공,일반,3434100,KRW,55000,,,
2025-06-27 14:10,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3361-2394-9570-88448,,ruby_5,Google,0,55000,성공,일반,3827800,KRW,55000,,,
2025-06-27 11:47,6d191f60-4789-11f0-8675-0f443c04772a,흑군태자,250627204649K0816350,,ruby_3,Onestore,0,0,성공,일반,0,KRW,11000,,,
2025-06-27 10:04,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3300-6991-6763-80699,,ruby_5,Google,0,55000,성공,일반,3772800,KRW,55000,,,
2025-06-27 9:44,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3339-9308-6008-70624,,ruby_1,Google,0,1100,성공,일반,3770600,KRW,1100,,,
2025-06-27 9:44,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3369-6469-5209-04925,,ruby_1,Google,0,1100,성공,일반,3771700,KRW,1100,,,
2025-06-27 9:43,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3332-9120-2678-84803,,ruby_3,Google,0,11000,성공,일반,3753000,KRW,11000,,,
2025-06-27 9:43,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3366-0842-0267-39076,,ruby_2,Google,0,6600,성공,일반,3764000,KRW,6600,,,
2025-06-27 9:42,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3397-8096-7106-33202,,ruby_6,Google,0,110000,성공,일반,3643000,KRW,110000,,,
2025-06-26 16:29,f7762810-52a6-11f0-9d22-019b29b9bd0c,잉크쟁이,GPA.3315-9963-3277-52827,,ruby_2,Google,0,6600,성공,일반,0,KRW,6600,,,
2025-06-26 16:29,f7762810-52a6-11f0-9d22-019b29b9bd0c,잉크쟁이,GPA.3341-1102-4194-01619,,ruby_1,Google,0,1100,성공,일반,6600,KRW,1100,,,
2025-06-26 16:19,06256050-e06b-11ef-a624-21fbda48aafc,안돼처남,GPA.3385-6798-0892-38923,,ruby_3,Google,0,11000,성공,일반,18700,KRW,11000,,,
2025-06-26 16:18,06256050-e06b-11ef-a624-21fbda48aafc,안돼처남,GPA.3386-8394-8829-23732,,ruby_1,Google,0,1100,성공,일반,17600,KRW,1100,,,
2025-06-26 15:21,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250627002114S1015056,,ruby_4,Onestore,0,0,성공,일반,3401100,KRW,33000,,,
2025-06-26 15:07,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250627000717S0312907,,ruby_3,Onestore,0,0,성공,일반,3379100,KRW,11000,,,
2025-06-26 15:07,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250627000738S1712951,,ruby_3,Onestore,0,0,성공,일반,3390100,KRW,11000,,,
2025-06-26 15:05,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250627000527S0712722,,ruby_4,Onestore,0,0,성공,일반,3346100,KRW,33000,,,
2025-06-26 14:17,89207590-d958-11ef-b87c-952aea98d58b,예압,GPA.3340-1865-9070-64236,,ruby_4,Google,0,33000,성공,일반,241600,KRW,33000,,,
2025-06-26 12:21,b62c9e70-7d5e-11ef-a9d4-dda8dcb36c20,한지민,250626212043U0312711,,ruby_1,Onestore,0,0,성공,일반,29000,KRW,1100,,,
2025-06-26 11:35,f543f970-8f90-11ef-94ed-cf6209089134,패스도아깝,GPA.3358-3657-2779-64154,,ruby_3,Google,0,11000,성공,일반,9874600,KRW,11000,,,
2025-06-26 9:27,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3392-8058-5724-38940,,ruby_5,Google,0,55000,성공,일반,3588000,KRW,55000,,,
2025-06-26 9:16,3fc51580-7e32-11ef-acdb-777f52051d6b,9렙6만4천칠흑,250626181621S0810945,,ruby_2,Onestore,0,0,성공,일반,878200,KRW,6600,,,
2025-06-26 9:16,3fc51580-7e32-11ef-acdb-777f52051d6b,9렙6만4천칠흑,250626181639S0910483,,ruby_1,Onestore,0,0,성공,일반,884800,KRW,1100,,,
2025-06-26 9:16,3fc51580-7e32-11ef-acdb-777f52051d6b,9렙6만4천칠흑,250626181650S0910511,,ruby_1,Onestore,0,0,성공,일반,885900,KRW,1100,,,
2025-06-26 9:15,3fc51580-7e32-11ef-acdb-777f52051d6b,9렙6만4천칠흑,250626181442S0910202,,ruby_3,Onestore,0,0,성공,일반,867200,KRW,11000,,,
2025-06-26 4:47,b54f7770-faea-11ef-902d-21ec422ff795,pybheat,GPA.3396-4607-3354-52409,,ruby_1,Google,0,1100,성공,일반,272400,KRW,1100,,,
2025-06-26 4:47,b54f7770-faea-11ef-902d-21ec422ff795,pybheat,GPA.3354-7941-6591-91791,,ruby_1,Google,0,1100,성공,일반,273500,KRW,1100,,,
2025-06-26 4:46,b54f7770-faea-11ef-902d-21ec422ff795,pybheat,GPA.3350-1896-4133-71672,,ruby_1,Google,0,1100,성공,일반,271300,KRW,1100,,,
2025-06-26 3:46,b54f7770-faea-11ef-902d-21ec422ff795,pybheat,GPA.3383-2311-6749-39576,,ruby_5,Google,0,55000,성공,일반,216300,KRW,55000,,,
2025-06-26 3:13,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250626121343S1117037,,ruby_3,Onestore,0,0,성공,일반,3335100,KRW,11000,,,
2025-06-26 2:17,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3375-3858-8012-30379,,ruby_6,Google,0,110000,성공,일반,139700,KRW,110000,,,
2025-06-26 2:12,23a2e030-5230-11f0-b5a2-83393b9c2c29,난난,GPA.3373-5877-6894-83543,,ruby_1,Google,0,1100,성공,일반,6600,KRW,1100,,,
2025-06-26 2:11,23a2e030-5230-11f0-b5a2-83393b9c2c29,난난,GPA.3318-9528-1247-12654,,ruby_2,Google,0,6600,성공,일반,0,KRW,6600,,,
2025-06-26 2:03,03ba58d0-522f-11f0-930f-2d751a7ef9b3,백두산호랑이,GPA.3367-1245-0476-32545,,ruby_3,Google,0,11000,성공,일반,0,KRW,11000,,,
2025-06-25 23:59,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3366-1547-4205-81693,,ruby_4,Google,0,33000,성공,일반,106700,KRW,33000,,,
2025-06-25 23:54,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,250626085407S0516651,,ruby_2,Onestore,0,0,성공,일반,3328500,KRW,6600,,,
2025-06-25 15:39,30431b30-51da-11f0-a196-bbbc1e63d5dd,띵털이수북,GPA.3323-3825-0072-89945,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-25 15:33,d3d75b10-51d7-11f0-b8f0-fd08dec628e7,조민희,GPA.3357-7628-8629-32469,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-25 13:55,89207590-d958-11ef-b87c-952aea98d58b,예압,GPA.3319-7268-1036-92442,,ruby_2,Google,0,6600,성공,일반,235000,KRW,6600,,,
2025-06-25 8:53,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3319-4383-3688-79562,,ruby_4,Google,0,33000,성공,일반,73700,KRW,33000,,,
2025-06-25 8:09,47fe8520-7d46-11ef-9498-b18493931dc7,한국,250625170856S0915155,,ruby_2,Onestore,0,0,성공,일반,72600,KRW,6600,,,
2025-06-25 3:06,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3337-0832-6311-37727,,ruby_4,Google,0,33000,성공,일반,40700,KRW,33000,,,
2025-06-25 2:50,16031230-5157-11f0-b4b5-e54937a99dd7,몽오,GPA.3327-6633-1288-99374,,ruby_1,Google,0,1100,성공,일반,0,KRW,1100,,,
2025-06-25 2:50,16031230-5157-11f0-b4b5-e54937a99dd7,몽오,GPA.3357-9928-2395-33282,,ruby_2,Google,0,6600,성공,일반,1100,KRW,6600,,,
2025-06-25 1:43,905448a0-5158-11f0-b4b5-e54937a99dd7,윈디,GPA.3399-9583-4848-53563,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-25 0:50,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3325-1243-7763-67583,,ruby_4,Google,0,33000,성공,일반,7700,KRW,33000,,,
2025-06-25 0:24,e40fa300-5157-11f0-ab10-8fca44614905,송띤,GPA.3345-1147-0596-35431,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-24 23:56,716bc9f0-5148-11f0-bac9-5394e7bd22d7,사라,GPA.3343-4347-5087-97678,,ruby_2,Google,0,6600,성공,일반,7700,KRW,6600,,,
2025-06-24 22:55,cfd32ba0-514d-11f0-be2e-8d645901fe89,비쥬,GPA.3303-4244-1617-69253,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-24 22:25,716bc9f0-5148-11f0-bac9-5394e7bd22d7,사라,GPA.3369-9081-1798-54709,,ads_remove,Google,0,7700,성공,일반,0,KRW,7700,,,
2025-06-24 20:58,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250625055801U1015728,,ruby_4,Onestore,0,0,성공,일반,636600,KRW,33000,,,
2025-06-24 19:58,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250625045810U1013692,,ruby_4,Onestore,0,0,성공,일반,603600,KRW,33000,,,
2025-06-24 11:07,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,GPA.3332-1256-7967-32398,,ruby_4,Google,0,33000,성공,일반,3555000,KRW,33000,,,
2025-06-24 7:05,c8263fa0-7d45-11ef-962b-ad2122108947,열정도아깝,GPA.3322-2656-1454-56159,,ruby_1,Google,0,1100,성공,일반,11034900,KRW,1100,,,
2025-06-24 5:48,dc6b9c30-7d45-11ef-b8c8-9f6e7b6da44c,아랍왕자,GPA.3339-0575-8137-02931,,ruby_6,Google,0,110000,성공,일반,4549700,KRW,110000,,,
2025-06-24 5:47,dc6b9c30-7d45-11ef-b8c8-9f6e7b6da44c,아랍왕자,GPA.3320-3939-4216-97566,,ruby_6,Google,0,110000,성공,일반,4439700,KRW,110000,,,
2025-06-24 5:45,7d75f920-97ab-11ef-9915-912e16a5d06a,후로샤끼,GPA.3380-0143-2050-95056,,ruby_2,Google,0,6600,성공,일반,5999400,KRW,6600,,,
2025-06-24 5:32,7d75f920-97ab-11ef-9915-912e16a5d06a,후로샤끼,GPA.3365-6371-7220-93670,,ruby_1,Google,0,1100,성공,일반,5998300,KRW,1100,,,
2025-06-23 22:20,2aa645b0-7e2e-11ef-a668-ef803883de71,그냥놀아,250624072021U0915491,,ruby_4,Onestore,0,0,성공,일반,220300,KRW,33000,,,
2025-06-23 20:31,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,250624052939U0810490,,ruby_6,Onestore,0,0,성공,일반,493600,KRW,110000,,,
